CRASH_RECORD_ID,CRASH_DATE_EST_I,CRASH_DATE,POSTED_SPEED_LIMIT,TRAFFIC_CONTROL_DEVICE,DEVICE_CONDITION,WEATHER_CONDITION,LIGHTING_CONDITION,FIRST_CRASH_TYPE,TRAFFICWAY_TYPE,LANE_CNT,ALIGNMENT,ROADWAY_SURFACE_COND,ROAD_DEFECT,REPORT_TYPE,CRASH_TYPE,INTERSECTION_RELATED_I,NOT_RIGHT_OF_WAY_I,HIT_AND_RUN_I,DAMAGE,DATE_POLICE_NOTIFIED,PRIM_CONTRIBUTORY_CAUSE,SEC_CONTRIBUTORY_CAUSE,STREET_NO,STREET_DIRECTION,STREET_NAME,BEAT_OF_OCCURRENCE,PHOTOS_TAKEN_I,STATEMENTS_TAKEN_I,DOORING_I,WORK_ZONE_I,WORK_ZONE_TYPE,WORKERS_PRESENT_I,NUM_UNITS,MOST_SEVERE_INJURY,INJURIES_TOTAL,INJURIES_FATAL,INJURIES_INCAPACITATING,INJURIES_NON_INCAPACITATING,INJURIES_REPORTED_NOT_EVIDENT,INJURIES_NO_INDICATION,INJURIES_UNKNOWN,CRASH_HOUR,CRASH_DAY_OF_WEEK,CRASH_MONTH,LATITUDE,LONGITUDE,LOCATION
4b1bdc2c6528716a6527608446cc7e8afa0fadb5407152c3e1410b99e014cf20916123351594222162c8e86c1462902826aeccaeb0bb597ba6776143dca183e9,,08/21/2025 10:00:00 AM,30,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,SIDESWIPE SAME DIRECTION,NOT DIVIDED,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,NO INJURY / DRIVE AWAY,,,,"OVER $1,500",08/21/2025 10:08:00 AM,UNABLE TO DETERMINE,UNABLE TO DETERMINE,3098,W,FULLERTON AVE,1414.0,,,,,,,2,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,2.0,0.0,10,5,8,41.924852133,-87.7045283215,POINT (-87.704528321467 41.924852132952)
a953370826a8af7d5430f6cdb66700ce27ecf627846e23a9214cfe6a09e48e8cf1ab5c28ed51bbd704717e671c63a133a3b029bffdbf54616e7aa70a1f5410b3,,12/18/2023 11:00:00 AM,30,STOP SIGN/FLASHER,FUNCTIONING PROPERLY,CLOUDY/OVERCAST,DAYLIGHT,REAR END,DIVIDED - W/MEDIAN (NOT RAISED),,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,Y,"$501 - $1,500",12/18/2023 11:00:00 AM,UNABLE TO DETERMINE,UNABLE TO DETERMINE,3153,W,IRVING PARK RD,1733.0,,,,,,,2,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,3.0,0.0,11,2,12,41.9538120329,-87.7077171018,POINT (-87.707717101816 41.953812032924)
535d5018d3b5143d432519b57a2eb10ecae3847a77d75a661ce7014f5ba1d8c3d0c9d6e4a8a8aa9f3fffc436ea17b2ba90b4b50bda8b0128548e166a2a2c7677,,04/04/2018 08:30:00 AM,30,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,REAR END,DIVIDED - W/MEDIAN BARRIER,2,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,Y,$500 OR LESS,04/04/2018 08:59:00 AM,IMPROPER BACKING,NOT APPLICABLE,5806,W,ROOSEVELT RD,1513.0,,,,,,,2,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,2.0,0.0,8,4,4,41.8656338841,-87.7695539869,POINT (-87.769553986929 41.865633884146)
460b68e6531911214d45337595de5286bab5ae975c39292ee00aec7d1d9c23e930bcd0e8dc4bc89b94358ab2ec1886f5db3ef22b646dd7a8142f83074a08e47b,,09/22/2019 01:42:00 AM,30,OTHER REG. SIGN,NO CONTROLS,RAIN,"DARKNESS, LIGHTED ROAD",ANGLE,NOT DIVIDED,,STRAIGHT AND LEVEL,WET,UNKNOWN,ON SCENE,NO INJURY / DRIVE AWAY,N,,Y,"OVER $1,500",09/22/2019 01:45:00 AM,FAILING TO YIELD RIGHT-OF-WAY,UNABLE TO DETERMINE,5131,W,AUGUSTA BLVD,1531.0,,,,,,,3,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1,1,9,41.8984826462,-87.7545251361,POINT (-87.754525136149 41.898482646182)
53f7585aee13f0ebe81c51e2f55dc25069deb11123b6b201bba0dcd1dbaa0494340299913da40d2f6cd9f499547ad8fdb940850cb890ab56e9e589f67e22ef19,,09/25/2020 12:00:00 PM,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,SIDESWIPE SAME DIRECTION,DIVIDED - W/MEDIAN (NOT RAISED),,STRAIGHT AND LEVEL,DRY,OTHER,ON SCENE,NO INJURY / DRIVE AWAY,Y,,,"OVER $1,500",09/25/2020 12:07:00 PM,NOT APPLICABLE,NOT APPLICABLE,4900,N,WESTERN AVE,2031.0,,,,,,,2,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,2.0,0.0,12,6,9,41.9705014746,-87.689115784,POINT (-87.689115784038 41.970501474594)
bbd714bd94ed7e997986d99470db68e8a43a91421bd5324bd1546d25a174182db79ccfd529f1c776ad4f951dec5e2634b7e7795d2ec03ca8816deacfbd5e5959,,11/04/2025 06:02:00 PM,30,NO CONTROLS,NO CONTROLS,CLEAR,"DARKNESS, LIGHTED ROAD",ANGLE,NOT DIVIDED,,STRAIGHT AND LEVEL,DRY,UNKNOWN,ON SCENE,NO INJURY / DRIVE AWAY,,,,"OVER $1,500",11/04/2025 06:17:00 PM,FAILING TO YIELD RIGHT-OF-WAY,UNABLE TO DETERMINE,1209,N,HUMBOLDT DR,1423.0,,,,,,,2,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,2.0,0.0,18,3,11,41.9031439022,-87.7020881749,POINT (-87.702088174945 41.903143902223)
41273e8324f5ebacc5f3a2f122519a646ee6cc1f1d62a6357357bb91e216319f6f6d513fcebdbc9970aab46eba03a9c09c2d7937a04f781033ab16ade0368672,,04/03/2018 07:50:00 PM,30,NO CONTROLS,FUNCTIONING PROPERLY,RAIN,"DARKNESS, LIGHTED ROAD",REAR END,NOT DIVIDED,,STRAIGHT AND LEVEL,WET,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,,$500 OR LESS,04/03/2018 07:58:00 PM,IMPROPER BACKING,IMPROPER BACKING,3212,N,BROADWAY,1925.0,,Y,,,,,2,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,4.0,0.0,19,3,4,41.9404647568,-87.6445598572,POINT (-87.644559857192 41.940464756813)
fbd02fbd16ccde836a61cdb3641a9f9a274c86e03aef3583311d3f9711656d0cea1d5a4f959db0e2343610f42f230e4978139f53a8518bb65e3ddd6edef2e7bd,,10/28/2019 08:07:00 AM,30,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,PARKED MOTOR VEHICLE,DIVIDED - W/MEDIAN (NOT RAISED),,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,,,,"OVER $1,500",10/28/2019 08:07:00 AM,PHYSICAL CONDITION OF DRIVER,DISTRACTION - FROM INSIDE VEHICLE,6912,S,JEFFERY BLVD,332.0,Y,,,,,,4,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8,2,10,41.7693690366,-87.5765332534,POINT (-87.576533253382 41.769369036633)
3286bedf016f706ed35a5556d532fd83a6bc8df77f825d9b5764ba0ba5634291bedfc3b54f4a919ba2f84e25901794b819743cfa2466cf36a63cd3467269d743,,11/18/2025 07:50:00 PM,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,DARKNESS,TURNING,OTHER,,STRAIGHT AND LEVEL,WET,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,Y,,Y,"OVER $1,500",11/18/2025 08:25:00 PM,UNABLE TO DETERMINE,NOT APPLICABLE,4700,W,NORTH AVE,2533.0,,,,,,,2,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,3.0,0.0,19,3,11,41.9097610956,-87.7436544425,POINT (-87.74365444247 41.909761095567)
1d7b52fa38a1109a06f2b574b2e5379db74cde80158005f30ebf0ed9ee976ebfa61ecd84ff413ecea64d333e90d148dac3cf2bfaff55c40d963fa9e506bf0102,,08/24/2019 04:45:00 PM,30,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,REAR END,DIVIDED - W/MEDIAN (NOT RAISED),,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,,,Y,"OVER $1,500",08/24/2019 04:53:00 PM,UNABLE TO DETERMINE,NOT APPLICABLE,1300,N,PULASKI RD,2534.0,,,,,,,3,"REPORTED, NOT EVIDENT",2.0,0.0,0.0,0.0,2.0,9.0,0.0,16,7,8,41.9044954013,-87.7265019977,POINT (-87.726501997712 41.904495401317)
